MAMMALIA – СИСАРИ,,,,
"",,Tetrao urogallus,Велики тетреб,"1-III; 5-I, II/Б, III/Б"
"GAVIIFORMES(МОРСКИ ГЊУРЦИ)","Gaviidae(морски гњурци)",Gavia arctica,Црногрли морски гњурац,1-II; 2-II; 5-I
"",Gavia immer,Велики морски гњурац,1-II; 2-II; 5-I,
"",Gavia stellata,Риђогрли морски гњурац,1-II; 2-II; 5-I,
"Gruidae(ждралови)",Grus grus,Ждрал,,
"Rallidae(барске коке)",Crex crex,Прдавац,1-II; 2-II; 5-I
"",Porzana porzana,Барски петлић,1-II; 2-II; 5-I
"",Rallus aquaticus,Барски петлован,1-III; 5-II/Б
"",Zapornia parva,Сиви барски петлић,1-II; 2-II; 5-I
"",Zapornia pusilla,Мали барски петлић,1-II; 2-II; 5-I
"Otididae(дропље)",Otis tarda,Велика дропља,"1-II; 2-I,II; 2-II; 3-II; 5-I"
"",Tetrax tetrax,Мала дропља,1-II; 3-II; 5-I
"Alaudidae(шеве)",Alauda arvensis,Пољска шева,1-III; 5-II/Б
"",Calandrella brachydactyla,Мала шева,1-II; 5-I
"",Calandrella rufescens,Источна мала шева,1-II
"",Eremophila alpestris,Планинска ушата шева,1-II
"",Galerida cristata,Ћубаста шева,1-III
"",Lullula arborea,Шумска шева,1-III; 5-I
"",Melanocorypha calandra,Велика шева,1-II; 5-I
"Bombycillidae(кугаре)",Bombycilla garrulus,Кугара,1-II
Certhiidae,Certhia brachydactyla,Дугокљуни пузић,1-II
(пузићи),Certhia familiaris,Краткокљуни пузић,1-II
"Cinclidae(воденкосови)",Cinclus cinclus,Воденкос,1-II
"Corvidae(вране)",Nucifraga caryocatactes,Лешњикара,1-II
"",Pyrhocorax graculus,Жутокљуна галица,1-II
"",Pyrrhocorax pyrhocorax,Црвенокљуна галица,1-II; 5-I
"Emberizidae(стрнадице)",Calcarius lapponicus,Стрнадица остругашица,1-II
"",Emberiza cia,Стрнадица камењарка,1-II
"",Emberiza cirlus,Црногрла стрнадица,1-II
"",Emberiza citrinellla,Стрнадица жутовољка,1-II
"",Emberiza hortulana,Виноградска стрнадица,1-III; 5-I
"",Emberiza melanocephala,Црноглава стрнадица,1-II
"",Emberiza schoeniclus,Барска стрнадица,1-II
"",Miliaria calandra,Велика стрнадица,1-III
"",Plectrophenax nivalis,Снежна стрнадица,1-II
"Fringillidae(зебе)",Carduelis cannabina,Конопљарка,1-II
